passenger_name,tpep_pickup_datetime,tpep_dropoff_datetime,payment_method,passenger_count,trip_distance,fare_amount,tip_amount,tolls_amount
Edward Jones,6.833333333333333,2017-09-27 09:16:56,Cash,2,1.09,6.5,1.0,0.0
Justin Johnson,8.25,2017-07-09 02:35:16,Card,1,0.79,7.0,0.0,0.0
Ariel Stokes,5.4,2017-10-15 01:09:50,Cash,1,1.1,5.5,1.35,0.0
Chase Brewer,33.96666666666667,2017-06-23 18:29:34,Cash,1,2.73,20.5,4.46,0.0
Rodney Martin,8.9,2017-06-10 00:02:51,Card,1,1.9,9.0,0.0,0.0
Dalton Davis,15.916666666666666,2017-03-04 16:56:11,Cash,5,2.85,12.5,1.0,0.0
Nicole Boyd,16.416666666666668,2017-09-08 22:02:24,Cash,1,1.8,11.5,0.0,0.0
Kelly Williams,6.216666666666667,2017-04-07 13:59:27,Card,2,0.83,6.0,0.7,0.0
Peter Bender,31.5,2017-12-22 12:21:07,Cash,1,4.2,22.0,4.56,0.0
Crystal Henson,15.8,2017-12-18 19:37:07,Card,1,1.6,11.0,0.0,0.0
Nathan Barnett,4.133333333333334,2017-12-06 22:53:36,Cash,1,0.5,4.5,2.0,0.0
Kimberly Perry,14.333333333333334,2017-05-19 08:20:09,Card,1,1.71,10.5,2.26,0.0
Linda Kaufman,0.11666666666666667,2017-06-22 08:05:40,Card,1,0.0,20.0,0.0,0.0
Diana Odonnell MD,4.933333333333334,2017-06-17 00:26:29,Card,1,1.06,5.5,0.0,0.0
Daniel Miller,19.933333333333334,2017-03-18 23:43:44,Cash,2,4.1,17.5,3.75,0.0
Tammy Moody,5.816666666666666,2017-12-12 16:56:27,Card,1,1.08,6.0,1.17,0.0
Sara Williamson,16.166666666666668,2017-11-24 15:33:57,Card,1,2.6,13.0,0.0,0.0
Tyler Turner,5.933333333333334,2017-12-29 16:10:06,Card,1,0.91,6.0,0.0,0.0
Victor Gomez,11.7,2017-07-18 19:23:35,Cash,1,0.95,8.5,2.0,0.0
Adrienne Owens,4.883333333333334,2017-01-08 03:04:25,Cash,1,1.71,6.5,1.0,0.0
David Burke,10.033333333333333,2017-07-09 03:11:20,Cash,1,2.62,10.0,0.0,0.0
Dawn Bradley,4.15,2017-07-17 14:24:40,Card,1,0.67,4.5,1.06,0.0
Scott Olsen,5.4,2017-08-16 21:42:40,Card,2,1.1,6.0,1.45,0.0
Erin Allen,15.016666666666667,2017-12-13 14:20:29,Card,2,2.14,11.5,0.0,0.0
Mark Todd,6.716666666666667,2017-10-18 07:49:21,Cash,1,1.4,6.5,1.45,0.0
Lauren Dawson,4.9,2017-12-26 23:38:49,Cash,1,1.0,5.5,0.0,0.0
Jeremy Brown,6.916666666666667,2017-03-15 21:23:59,Cash,1,1.84,7.5,0.0,0.0
Angel Hudson,3.2666666666666666,2017-12-12 12:35:27,Cash,1,0.55,4.0,1.2,0.0
Jasmine Young,2.05,2017-04-06 02:47:22,Cash,1,0.3,3.5,0.0,0.0
Ralph Elliott,8.666666666666666,2017-04-14 12:58:24,Card,1,1.39,8.0,2.2,0.0
Samuel Hodges,16.15,2017-03-03 09:34:52,Cash,1,1.5,11.0,0.0,0.0
Mary Richmond,6.083333333333333,2017-02-03 06:30:49,Cash,1,1.1,6.0,0.0,0.0
Jeffrey Allen,4.333333333333333,2017-03-15 15:46:27,Card,1,0.5,4.5,1.05,0.0
Shannon Johns,18.566666666666666,2017-05-19 14:28:56,Cash,1,1.57,12.5,2.66,0.0
Tony Trevino,2.4833333333333334,2017-09-15 22:15:57,Cash,2,1.03,5.0,1.26,0.0
Danielle Jones,4.183333333333334,2017-09-01 23:14:38,Cash,2,0.65,5.0,0.0,0.0
Mrs. Cynthia Williams,33.71666666666667,2017-11-29 11:47:12,Cash,1,2.8,20.5,3.2,0.0
Julie Collins,30.0,2017-01-22 01:05:47,Cash,2,6.14,24.5,0.0,0.0
Ivan Cowan,17.983333333333334,2017-10-24 15:39:40,Card,1,1.5,12.5,3.95,0.0
Christopher Ford,11.783333333333333,2017-04-21 23:27:41,Cash,1,2.6,11.0,3.0,0.0
Evelyn Willis,19.183333333333334,2017-04-29 13:48:15,Card,1,3.1,15.0,1.0,0.0
Jonathan Flores,0.9666666666666667,2017-11-11 20:17:14,Card,1,0.23,52.0,0.0,0.0
Rebecca Patterson,17.066666666666666,2017-04-12 20:30:59,Cash,1,2.1,12.0,2.65,0.0
Michael Mckinney,16.583333333333332,2017-08-23 15:42:56,Card,2,1.97,12.0,0.0,0.0
Margaret Cook,15.1,2017-06-07 08:10:37,Cash,1,4.67,17.0,3.56,0.0
Sean Robinson,22.35,2017-03-22 23:18:02,Cash,1,4.31,17.5,3.76,0.0
Mrs. Sarah Burke MD,7.816666666666666,2017-06-08 19:34:50,Cash,1,0.84,6.5,0.0,0.0
Philip Cameron,11.166666666666666,2017-10-05 00:13:38,Card,2,2.34,10.5,2.36,0.0
Julia Davis,3.1666666666666665,2017-06-19 01:07:06,Card,2,1.04,5.0,0.0,0.0
Brian Jones,18.816666666666666,2017-04-15 12:27:40,Cash,6,2.84,14.0,2.96,0.0
Tracy Conner,4.183333333333334,2017-05-31 21:02:51,Cash,2,0.3,4.5,0.0,0.0
Brian Reed,27.483333333333334,2017-07-15 23:02:01,Card,1,3.9,19.0,0.0,0.0
Nancy Thompson,26.133333333333333,2017-02-12 16:03:24,Card,1,5.27,22.0,0.0,0.0
Lacey Thompson,15.816666666666666,2017-04-20 07:29:07,Cash,1,3.3,13.5,2.85,0.0
Linda Lopez,6.366666666666666,2017-08-16 18:37:37,Cash,1,1.4,6.5,1.65,0.0
Andrea Mathis,4.583333333333333,2017-06-13 19:09:05,Card,3,0.47,5.0,1.36,0.0
Kristi Young,18.133333333333333,2017-07-08 15:00:29,Cash,3,2.3,13.0,2.76,0.0
Terry Smith,3.966666666666667,2017-02-03 20:44:15,Card,2,0.95,5.5,1.02,0.0
Douglas Weaver,7.5,2017-01-20 20:05:12,Cash,1,0.66,6.5,1.0,0.0
John Morrow,14.933333333333334,2017-06-07 23:07:32,Card,1,3.8,14.5,3.15,0.0
Frank Barnes,12.716666666666667,2017-05-01 22:22:08,Cash,1,2.4,11.0,3.05,0.0
Dawn Peterson,34.63333333333333,2017-05-15 08:57:04,Card,2,4.24,22.5,4.66,0.0
Renee Johnson,11.533333333333333,2017-11-07 07:50:30,Card,1,1.77,9.5,0.0,0.0
Ashley Bell,22.233333333333334,2017-10-31 22:46:52,Cash,1,2.4,15.0,3.25,0.0
Tammy Duran,16.85,2017-12-04 17:56:05,Card,1,2.5,12.5,0.0,0.0
Henry Anderson,9.066666666666666,2017-05-29 21:57:47,Cash,2,2.5,9.5,1.5,0.0
Laura Bennett,5.433333333333334,2017-09-07 08:15:38,Card,1,0.99,6.0,3.0,0.0
Dylan Meyer,12.166666666666666,2017-10-05 19:01:35,Card,2,2.2,10.5,1.6,0.0
Samantha Miller,36.93333333333333,2017-09-15 19:54:54,Cash,2,3.3,22.0,4.75,0.0
Jessica Ortiz,7.0,2017-04-15 14:03:10,Card,1,1.13,7.0,0.0,0.0
Derek Beasley,2.533333333333333,2017-03-05 19:55:53,Cash,1,0.43,4.0,0.96,0.0
Bruce Davis,5.65,2017-09-26 12:01:58,Cash,1,1.72,7.5,0.0,0.0
Ian Porter,22.583333333333332,2017-01-25 18:55:51,Cash,1,3.2,16.0,2.0,0.0
Gregory Holmes,5.416666666666667,2017-04-11 16:18:29,Card,1,0.8,6.0,2.3,0.0
Jessica Santiago,5.616666666666666,2017-01-24 18:09:15,Card,1,1.35,6.0,1.0,0.0
Amanda Harding,34.016666666666666,2017-02-25 18:45:37,Card,5,3.85,21.5,0.0,0.0
David Chavez,20.1,2017-11-17 22:29:09,Cash,5,1.6,12.5,0.0,0.0
Lisa Bullock,29.9,2017-02-13 16:55:35,Cash,1,4.2,21.0,0.0,0.0
Lisa Bullock,29.9,2017-02-13 16:55:35,Cash,1,4.2,21.0,0.0,0.0
Michele Figueroa,7.8,2017-05-28 21:41:22,Card,1,2.1,8.5,1.25,0.0
Dwayne Williams,21.1,2017-07-20 17:52:46,Cash,1,0.78,13.0,2.96,0.0
Robert Ward,2.466666666666667,2017-07-07 05:26:24,Cash,5,0.74,4.5,1.16,0.0
Christine Simpson,7.783333333333333,2017-11-30 21:14:01,Cash,4,0.99,7.0,1.0,0.0
Bradley Smith,7.15,2017-08-05 15:39:57,Cash,1,1.3,7.0,0.0,0.0
William Wright,12.25,2017-11-18 10:45:24,Cash,6,2.21,10.5,1.7,0.0
Hannah Shepherd,17.1,2017-01-27 15:15:53,Card,3,1.9,12.5,2.0,0.0
Johnny Powell,6.783333333333333,2017-06-24 07:09:00,Cash,1,1.32,7.0,1.1,0.0
Angel Adams,8.933333333333334,2017-11-17 20:54:02,Card,2,0.5,7.0,0.0,0.0
Lindsey Mathis,26.55,2017-07-29 13:49:07,Cash,1,4.93,20.0,2.0,0.0
Lauren Becker,7.916666666666667,2017-11-22 01:23:38,Cash,1,1.4,7.5,1.75,0.0
Amber Sellers,27.533333333333335,2017-06-09 17:14:38,Card,1,2.52,18.0,3.96,0.0
Paul Ortiz,15.683333333333334,2017-04-11 19:51:12,Card,1,2.69,12.0,0.0,0.0
Robert Smith,11.25,2017-02-05 17:57:53,Card,1,1.5,8.5,1.0,0.0
Victoria Hayes,14.95,2017-10-12 08:57:22,Cash,1,1.36,10.5,2.26,0.0
Kevin Gentry,16.816666666666666,2017-05-12 09:09:29,Cash,1,1.52,11.5,2.46,0.0
Jonathan Phillips,13.366666666666667,2017-11-23 00:45:00,Card,1,4.5,14.5,0.0,0.0
Robert Blackburn,22.966666666666665,2017-08-14 12:49:29,Cash,3,4.5,19.0,0.0,0.0
Natasha Molina,8.3,2017-03-13 15:48:35,Card,1,1.1,7.5,1.65,0.0
Michele Davis,4.8,2017-07-16 01:38:08,Card,1,1.29,6.0,1.46,0.0
Andrea Fernandez,7.766666666666667,2017-09-01 19:11:10,Card,2,1.54,7.5,0.0,0.0
Julia Morales,6.5,2017-05-17 21:22:45,Card,2,1.3,6.5,0.0,0.0
Jordan Short,8.6,2017-11-04 19:37:57,Card,1,1.0,7.0,1.55,0.0
Linda Freeman,11.166666666666666,2017-09-14 11:08:46,Card,1,1.3,9.0,1.95,0.0
Michael Jackson,4.166666666666667,2017-05-13 14:05:15,Cash,1,0.7,5.0,0.0,0.0
Jesse Goodman,7.516666666666667,2017-10-05 17:13:12,Card,2,1.1,7.0,2.0,0.0
Christopher Simon,6.566666666666666,2017-10-10 20:24:12,Cash,1,1.24,6.5,1.56,0.0
Rodney Williams,11.516666666666667,2017-03-04 01:25:26,Cash,1,1.7,9.5,1.0,0.0
Patricia Roberts,9.833333333333334,2017-12-07 10:40:06,Cash,1,1.36,8.0,1.76,0.0
Jeremy Tate,17.6,2017-02-09 08:43:56,Card,1,2.19,12.0,0.0,0.0
Kenneth Ford,10.116666666666667,2017-11-20 17:13:08,Cash,1,1.25,8.0,1.96,0.0
Ann Ramirez,14.583333333333334,2017-08-28 15:19:07,Cash,1,1.42,10.5,2.82,0.0
Janet Long,2.55,2017-07-27 22:56:05,Card,1,0.45,4.0,0.0,0.0
Erik Church,9.666666666666666,2017-12-20 19:25:36,Cash,1,2.3,10.0,2.3,0.0
Kelsey Lewis,8.433333333333334,2017-10-02 10:25:56,Cash,1,1.15,7.0,1.56,0.0
Brittany Chase,6.466666666666667,2017-07-13 11:23:54,Card,2,0.68,5.5,0.0,0.0
Julie Case,26.316666666666666,2017-09-24 20:10:47,Cash,4,5.04,21.0,0.0,0.0
Jacob Sellers,15.083333333333334,2017-02-28 17:55:25,Cash,1,1.46,10.5,3.69,0.0
Sheila Marsh,12.316666666666666,2017-01-20 18:34:17,Cash,1,1.0,9.0,0.0,0.0
Erik Perez,0.16666666666666666,2017-09-18 20:51:03,Cash,1,0.0,2.5,0.0,0.0
Michael Hopkins,5.483333333333333,2017-05-26 22:39:37,Cash,2,0.6,5.0,0.0,0.0
Mark Banks,6.216666666666667,2017-01-19 00:09:55,Card,1,1.1,6.0,0.0,0.0
Anna Rogers,15.5,2017-01-27 01:52:31,Card,1,3.8,15.0,0.0,0.0
Stephen Harrell,16.216666666666665,2017-04-16 23:24:44,Card,1,6.02,19.5,0.0,0.0
Tina Day,9.2,2017-03-05 10:13:55,Cash,1,1.8,8.5,0.0,0.0
James Morris,4.883333333333334,2017-03-14 17:26:40,Cash,1,1.74,7.0,1.76,0.0
Jason Beck,4.2,2017-02-15 18:15:55,Cash,1,0.2,4.5,0.0,0.0
Ashley Potts,11.316666666666666,2017-04-29 13:37:35,Card,1,2.06,10.0,2.16,0.0
Brittany Taylor,10.316666666666666,2017-01-04 07:45:13,Card,1,1.2,8.0,0.0,0.0
Chelsea Copeland,9.616666666666667,2017-11-23 14:03:20,Card,1,0.51,7.5,0.0,0.0
Lisa Richardson,8.733333333333333,2017-01-24 21:16:46,Card,1,1.65,8.0,0.0,0.0
Kenneth Thomas,2.5833333333333335,2017-11-28 16:08:30,Card,1,0.6,4.0,0.0,0.0
Robert Fox,7.55,2017-08-20 21:21:40,Cash,5,1.12,7.0,0.0,0.0
Elijah Erickson,41.583333333333336,2017-10-30 10:32:09,Card,3,3.7,25.5,0.0,0.0
John Taylor,10.166666666666666,2017-08-06 04:33:36,Cash,1,1.52,8.5,0.0,0.0
Heather Gutierrez,7.75,2017-05-20 19:51:43,Cash,1,1.36,7.5,1.66,0.0
Mary Smith,28.933333333333334,2017-08-12 19:52:16,Card,1,5.0,21.0,0.0,0.0
Sean Adams,5.166666666666667,2017-07-21 11:30:49,Card,1,0.76,5.5,0.0,0.0
Joel Lane MD,12.1,2017-02-17 11:11:47,Cash,1,2.15,10.0,2.16,0.0
Kelly Mcintyre,6.933333333333334,2017-03-08 16:07:11,Cash,1,0.67,6.0,1.0,0.0
Brenda Thomas,21.383333333333333,2017-10-03 08:09:22,Card,2,1.7,14.0,0.0,0.0
Mr. Michael Perkins PhD,16.366666666666667,2017-09-03 14:09:06,Card,2,5.2,18.5,0.0,0.0
Daniel White,3.316666666666667,2017-05-24 07:02:04,Cash,1,0.48,4.0,0.0,0.0
Lisa George,6.183333333333334,2017-03-07 23:57:50,Cash,1,2.1,8.0,1.85,0.0
Travis Ward,23.95,2017-08-01 11:47:02,Cash,1,2.16,15.5,3.26,0.0
John Hawkins,9.9,2017-03-21 16:47:24,Card,1,1.4,8.0,1.0,0.0
Rachael Ryan,21.9,2017-04-28 21:28:11,Cash,1,4.33,18.0,5.79,0.0
Jose Miller,24.85,2017-12-18 10:34:21,Cash,1,4.9,21.5,4.45,0.0
Joshua Rosario,12.983333333333333,2017-03-04 00:01:25,Cash,1,2.81,12.0,2.0,0.0
Tammy Johnson,11.9,2017-02-13 21:25:26,Cash,1,2.4,11.0,0.0,0.0
Brenda Johnson,1.9,2017-06-17 17:52:15,Card,2,0.6,4.0,1.4,0.0
Pamela Hamilton,4.066666666666666,2017-02-26 10:08:15,Card,1,1.01,5.5,0.0,0.0
Jillian Sutton,18.35,2017-10-29 23:26:13,Cash,1,6.0,19.5,3.0,0.0
Sandra Jackson,4.816666666666666,2017-01-06 20:34:10,Card,1,0.61,5.0,1.26,0.0
Joe Craig,15.05,2017-04-15 00:55:17,Card,4,2.0,11.0,2.0,0.0
Julie Powell,9.7,2017-09-18 15:19:38,Card,6,1.89,9.0,0.0,0.0
Jason Robinson,16.116666666666667,2017-12-13 22:47:16,Cash,3,2.24,12.5,2.0,0.0
James Hill,17.05,2017-08-02 12:50:03,Cash,1,1.9,12.0,3.2,0.0
Jerry Brown,8.55,2017-09-03 21:20:44,Card,1,1.16,7.5,0.0,0.0
Matthew Campbell,6.133333333333334,2017-10-13 20:13:06,Cash,1,0.5,5.5,0.0,0.0
Jessica Jones,25.183333333333334,2017-11-24 17:51:18,Cash,1,2.6,17.0,0.0,0.0
Deborah Sanford,0.43333333333333335,2017-10-04 19:46:50,Cash,1,0.0,2.5,0.0,0.0
Frank Nelson,8.05,2017-10-03 13:37:17,Cash,1,1.21,7.0,1.56,0.0
Lindsay Foley,17.533333333333335,2017-05-24 14:18:00,Card,2,4.4,18.0,3.38,0.0
Kelsey Watts,4.416666666666667,2017-04-05 19:44:19,Cash,1,0.54,4.5,1.0,0.0
Dr. John Ryan,5.583333333333333,2017-09-17 08:19:08,Card,1,1.4,6.5,0.0,0.0
Cathy Lopez,15.6,2017-08-01 08:03:28,Card,1,2.81,12.5,2.66,0.0
Richard Mendoza,6.183333333333334,2017-12-17 20:35:37,Cash,2,0.92,6.0,1.46,0.0
Kristen Rogers,15.766666666666667,2017-01-10 10:28:11,Cash,1,1.9,12.0,2.55,0.0
Joel Allen,3.2666666666666666,2017-07-08 06:11:21,Cash,1,0.62,4.5,0.0,0.0
Dr. Brandon Smith II,8.333333333333334,2017-01-19 19:57:05,Card,1,2.1,8.5,0.0,0.0
Matthew Perez,1.7166666666666666,2017-02-03 08:15:45,Card,1,0.24,3.5,0.86,0.0
Mr. Reginald Phillips PhD,20.2,2017-04-25 18:01:05,Cash,1,1.39,13.0,3.7,0.0
Sarah King,29.15,2017-01-05 16:55:08,Card,1,3.5,19.5,2.0,0.0
Robert Torres,8.083333333333334,2017-06-30 20:18:07,Card,1,0.84,7.0,2.08,0.0
Renee Smith,14.25,2017-06-17 16:53:42,Cash,5,2.68,11.5,2.46,0.0
Drew Moss,37.916666666666664,2017-04-08 15:37:07,Card,1,4.5,23.5,0.0,0.0
Richard Garza,10.85,2017-06-22 21:31:04,Cash,1,1.4,8.5,1.95,0.0
Emily Schmidt,8.016666666666667,2017-10-12 05:44:50,Card,1,2.0,8.5,1.95,0.0
Tiffany Walker,1.2666666666666666,2017-04-10 09:47:34,Cash,1,0.4,3.5,0.0,0.0
